Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,2,1,3.65
0,2,2,1.18
0,2,4,0.19
0,2,8,0.19
0,2,16,0.20
0,2,32,0.20
0,2,64,0.18
0,2,128,1.53
0,2,256,6.11
0,2,512,1.23
0,2,1024,1.39
0,2,2048,1.48
0,2,4096,3.69
0,2,8192,4.47
0,2,16384,5.48
0,2,32768,5.81
0,2,65536,8.20
0,2,131072,12.32
0,2,262144,21.91
0,2,524288,42.73
0,2,1048576,81.81
0,4,1,0.94
0,4,2,0.29
0,4,4,0.21
0,4,8,0.21
0,4,16,0.23
0,4,32,0.21
0,4,64,0.73
0,4,128,2.77
0,4,256,4.64
0,4,512,2.63
0,4,1024,2.47
0,4,2048,4.63
0,4,4096,7.80
0,4,8192,10.53
0,4,16384,5.09
0,4,32768,6.71
0,4,65536,10.16
0,4,131072,20.66
0,4,262144,43.60
0,4,524288,91.59
0,4,1048576,241.89
0,8,1,57.29
0,8,2,2.75
0,8,4,1.10
0,8,8,0.79
0,8,16,0.86
0,8,32,1.48
0,8,64,0.90
0,8,128,10.31
0,8,256,4.81
0,8,512,7.96
0,8,1024,6.18
0,8,2048,14.93
0,8,4096,13.95
0,8,8192,17.62
0,8,16384,15.72
0,8,32768,13.03
0,8,65536,22.98
0,8,131072,52.29
0,8,262144,113.83
0,8,524288,244.10
0,8,1048576,507.27
0,16,1,31.50
0,16,2,1.67
0,16,4,3.65
0,16,8,0.87
0,16,16,1.73
0,16,32,1.18
0,16,64,1.42
0,16,128,8.49
0,16,256,9.03
0,16,512,7.32
0,16,1024,12.38
0,16,2048,14.38
0,16,4096,20.18
0,16,8192,22.39
0,16,16384,24.24
0,16,32768,40.00
0,16,65536,68.59
0,16,131072,131.87
0,16,262144,271.92
0,16,524288,539.88
0,16,1048576,1584.92
0,32,1,8.83
0,32,2,2.56
0,32,4,2.07
0,32,8,1.71
0,32,16,1.52
0,32,32,2.38
0,32,64,32.78
0,32,128,10.14
0,32,256,8.93
0,32,512,9.52
0,32,1024,10.56
0,32,2048,18.84
0,32,4096,42.18
0,32,8192,28.28
0,32,16384,21.81
0,32,32768,32.61
0,32,65536,59.51
0,32,131072,114.08
0,32,262144,251.12
0,32,524288,513.32
0,32,1048576,1066.26
0,48,1,22.69
0,48,2,5.74
0,48,4,2.75
0,48,8,2.92
0,48,16,2.61
0,48,32,3.96
0,48,64,5.82
0,48,128,11.41
0,48,256,12.82
0,48,512,10.67
0,48,1024,12.90
0,48,2048,21.76
0,48,4096,27.38
0,48,8192,32.04
0,48,16384,25.67
0,48,32768,35.86
0,48,65536,80.62
0,48,131072,153.38
0,48,262144,292.48
0,48,524288,662.85
0,48,1048576,1066.95
0,64,1,3.35
0,64,2,9.65
0,64,4,1.81
0,64,8,1.14
0,64,16,1.62
0,64,32,1.74
0,64,64,3.07
0,64,128,10.64
0,64,256,13.78
0,64,512,11.21
0,64,1024,10.27
0,64,2048,16.08
0,64,4096,34.71
0,64,8192,33.65
0,64,16384,29.38
0,64,32768,44.36
0,64,65536,70.38
0,64,131072,142.14
0,64,262144,304.33
0,64,524288,704.06
0,64,1048576,1139.55
0,96,1,2.39
0,96,2,9.98
0,96,4,3.29
0,96,8,2.80
0,96,16,2.60
0,96,32,3.36
0,96,64,2.75
0,96,128,12.82
0,96,256,17.08
0,96,512,16.27
0,96,1024,23.65
0,96,2048,28.26
0,96,4096,34.14
0,96,8192,41.43
0,96,16384,30.25
0,96,32768,54.37
0,96,65536,107.59
0,96,131072,176.80
0,96,262144,434.21
0,96,524288,750.11
0,96,1048576,1481.76
0,128,1,2.97
0,128,2,20.36
0,128,4,4.61
0,128,8,5.20
0,128,16,4.78
0,128,32,5.21
0,128,64,5.28
0,128,128,17.50
0,128,256,24.36
0,128,512,22.96
0,128,1024,34.34
0,128,2048,34.07
0,128,4096,45.44
0,128,8192,60.98
0,128,16384,90.70
0,128,32768,171.55
0,128,65536,129.52
0,128,131072,258.24
0,128,262144,548.56
0,128,524288,1116.27
0,128,1048576,1997.32
0,176,1,57.22
0,176,2,13.24
0,176,4,6.28
0,176,8,9.99
0,176,16,4.73
0,176,32,5.57
0,176,64,8.43
0,176,128,14.71
0,176,256,20.75
0,176,512,26.15
0,176,1024,25.30
0,176,2048,33.88
0,176,4096,59.35
0,176,8192,77.29
0,176,16384,134.39
0,176,32768,271.80
0,176,65536,100.94
0,176,131072,225.82
0,176,262144,512.26
0,176,524288,953.81
0,176,1048576,1881.92
0,224,1,14.30
